State,Population,Median Household Income Est.,Cases,Deaths,Mortality Rate,Land Area (square miles),Population Density (people/square mile)
Alabama,4903185,49881,110361,1936,1.754242893775881,50744,96.62590651111462
Alaska,731545,74912,5175,27,0.5217391304347827,571951,1.2790343928063768
Arizona,7278717,59079,194931,4535,2.326464236063017,113635,64.0534782417389
Arkansas,3017804,47094,53487,619,1.1572905565838427,52068,57.9588999001306
California,39512223,75250,640499,11523,1.7990660406963943,155959,253.35006636359557
Colorado,5758736,71949,53674,1906,3.5510675559861387,103718,55.52301432731059
Connecticut,3565287,76366,51267,4456,8.69175102892699,4845,735.8693498452012
Delaware,973764,65467,16593,593,3.5737961791116732,1954,498.3439099283521
Florida,21477737,55433,579924,9757,1.6824618398272877,53927,398.2742781908877
Georgia,10617423,58634,224681,4691,2.087848994797068,57906,183.3561807066625
Hawaii,1415872,80527,5326,40,0.7510326699211416,6423,220.43780165031916
Idaho,1787065,55524,28486,283,0.9934704767254089,82747,21.596734624820236
Illinois,12671821,65063,211806,8017,3.7850674673994127,55584,227.97605426021877
Indiana,6732219,55725,83799,3165,3.776894712347403,35867,187.69952881478795
Iowa,3155070,60071,53201,1002,1.8834232439239862,55869,56.47264135746121
Kansas,2913314,58150,35632,415,1.164683430624158,81815,35.60855588828454
Kentucky,4467673,50189,42270,859,2.0321741187603504,39728,112.45652939991945
Louisiana,4648794,48021,139248,4554,3.270423991726991,43562,106.71672558652037
Maine,1344212,55579,4213,127,3.0144789935912653,30862,43.55556995658091
Maryland,6045680,83076,101780,3650,3.586166240911771,9774,618.5471659504809
Massachusetts,6892503,79817,124063,8848,7.131860425751432,7840,879.1457908163266
Michigan,9986857,56640,103527,6607,6.3819100331314536,56804,175.81256601647772
Minnesota,5639632,70295,66107,1767,2.672939325638737,79610,70.84074864966713
Mississippi,2976149,44740,73207,2128,2.906825849987023,46907,63.447864924211736
Missouri,6137428,54412,70700,1477,2.089108910891089,68886,89.09543303428853
Montana,1068778,55248,5867,84,1.4317368331344809,145552,7.342928987578323
Nebraska,1934408,59724,30825,370,1.2003244120032441,76872,25.164012904568633
Nevada,3080156,58740,62752,1102,1.7561193268740438,109826,28.04578150893231
New Hampshire,1359711,75322,7017,424,6.042468291292575,8968,151.61808652988404
New Jersey,8882190,81777,189937,15925,8.384359024308061,7417,1197.5448294458677
New Mexico,2096829,47405,23579,723,3.0662877984647356,121356,17.27832987244141
New York,19453561,67648,431298,32446,7.522872816474919,47214,412.0295039606896
North Carolina,10488084,53922,147141,2425,1.6480790534249463,48711,215.31243456303505
North Dakota,762062,65250,8786,132,1.5023901661734578,68976,11.048219670610067
Ohio,11689100,56155,109923,3871,3.521555998289712,40948,285.46204942854354
Oklahoma,3956971,51914,49326,682,1.3826379596967115,68667,57.62551152664307
Oregon,4217737,63168,23685,399,1.6846105129829005,95997,43.936133420836065
Pennsylvania,12801989,60891,130286,7561,5.803386396082464,44817,285.6502889528527
Rhode Island,1059361,63787,20692,1024,4.948772472453122,1045,1013.7425837320574
South Carolina,5148714,52449,107672,2343,2.176053198603165,30109,171.00249094954998
South Dakota,884659,57041,10443,154,1.4746720291104087,75885,11.657890228635436
Tennessee,6829174,52366,132796,1410,1.0617789692460615,41217,165.68828396050174
Texas,28995881,60632,577220,10798,1.8706905512629501,261797,110.75711715565878
Utah,3205958,71381,47285,372,0.7867188326107645,82144,39.02851090767433
Vermont,623989,60917,1530,58,3.7908496732026142,9250,67.45827027027028
Virginia,8535519,72600,108282,2396,2.212740806412885,39594,215.57607213214123
Washington,7614893,74023,71033,1896,2.6691819295257133,66544,114.43395347439288
West Virginia,1792147,44038,8731,164,1.8783644485167794,24078,74.43089127003904
Wisconsin,5822434,60779,71517,1063,1.4863598864605618,54310,107.20740195175843
Wyoming,578759,62259,3360,34,1.0119047619047619,97100,5.960442842430484
