index,state,Land Area (square miles)
1,Alaska,"571,951.26"
2,Texas,"261,797.12"
3,California,"155,959.34"
4,Montana,"145,552.43"
5,New Mexico,"121,355.53"
6,Arizona,"113,634.57"
7,Nevada,"109,825.99"
8,Colorado,"103,717.53"
9,Wyoming,"97,100.40"
10,Oregon,"95,996.79"
11,Idaho,"82,747.21"
12,Utah,"82,143.65"
13,Kansas,"81,814.88"
14,Minnesota,"79,610.08"
15,Nebraska,"76,872.41"
16,South Dakota,"75,884.64"
17,North Dakota,"68,975.93"
18,Missouri,"68,885.93"
19,Oklahoma,"68,667.06"
20,Washington,"66,544.06"
21,Georgia,"57,906.14"
22,Michigan,"56,803.82"
23,Iowa,"55,869.36"
24,Illinois,"55,583.58"
25,Wisconsin,"54,310.10"
26,Florida,"53,926.82"
27,Arkansas,"52,068.17"
28,Alabama,"50,744.00"
29,North Carolina,"48,710.88"
30,New York,"47,213.79"
31,Mississippi,"46,906.96"
32,Pennsylvania,"44,816.61"
33,Louisiana,"43,561.85"
34,Tennessee,"41,217.12"
35,Ohio,"40,948.38"
36,Kentucky,"39,728.18"
37,Virginia,"39,594.07"
38,Indiana,"35,866.90"
39,Maine,"30,861.55"
40,South Carolina,"30,109.47"
41,West Virginia,"24,077.73"
42,Maryland,"9,773.82"
43,Vermont,"9,249.56"
44,New Hampshire,"8,968.10"
45,Massachusetts,"7,840.02"
46,New Jersey,"7,417.34"
47,Hawaii,"6,422.62"
48,Connecticut,"4,844.80"
49,Delaware,"1,953.56"
50,Rhode Island,"1,044.93"
51,"Washington, D. C.",61.4
