Population,State Number
2976149,28
6137428,29
1068778,30
1934408,31
3080156,32
1359711,33
8882190,34
2096829,35
19453561,36
10488084,37
762062,38
11689100,39
3956971,40
4217737,41
12801989,42
1059361,44
5148714,45
884659,46
6829174,47
28995881,48
623989,50
3205958,49
8535519,51
7614893,53
1792147,54
5822434,55
578759,56
3193694,72
4903185,01
731545,02
7278717,04
3017804,05
39512223,06
5758736,08
973764,10
705749,11
3565287,09
21477737,12
10617423,13
1787065,16
1415872,15
12671821,17
6732219,18
3155070,19
2913314,20
4467673,21
4648794,22
1344212,23
6045680,24
6892503,25
9986857,26
5639632,27
