index,state,Land Area (square miles)
1,Alaska,571951
2,Texas,261797
3,California,155959
4,Montana,145552
5,New Mexico,121356
6,Arizona,113635
7,Nevada,109826
8,Colorado,103718
9,Wyoming,97100
10,Oregon,95997
11,Idaho,82747
12,Utah,82144
13,Kansas,81815
14,Minnesota,79610
15,Nebraska,76872
16,South Dakota,75885
17,North Dakota,68976
18,Missouri,68886
19,Oklahoma,68667
20,Washington,66544
21,Georgia,57906
22,Michigan,56804
23,Iowa,55869
24,Illinois,55584
25,Wisconsin,54310
26,Florida,53927
27,Arkansas,52068
28,Alabama,50744
29,North Carolina,48711
30,New York,47214
31,Mississippi,46907
32,Pennsylvania,44817
33,Louisiana,43562
34,Tennessee,41217
35,Ohio,40948
36,Kentucky,39728
37,Virginia,39594
38,Indiana,35867
39,Maine,30862
40,South Carolina,30109
41,West Virginia,24078
42,Maryland,9774
43,Vermont,9250
44,New Hampshire,8968
45,Massachusetts,7840
46,New Jersey,7417
47,Hawaii,6423
48,Connecticut,4845
49,Delaware,1954
50,Rhode Island,1045
51,"Washington, D. C.",61
